dispersal_allowed,plate_id,pairwise_id,week,beta_diversity
no,CL,a3,4,0.226415094
no,CL,a4,4,0.284210526
no,CL,a5,4,0.224137931
no,CL,a6,4,0.126213592
no,CL,a7,4,0.142857143
no,CL,a8,4,0.119266055
no,CL,a9,4,0.085714286
no,CL,a10,4,0.142857143
no,CL,a11,4,0.0625
no,CL,a12,4,0.03030303
no,CL,a13,4,0.142857143
no,CL,a14,4,0.364705882
no,CL,a15,4,0.142857143
no,CL,a16,4,0.214285714
no,CL,a17,4,0.196428571
no,CL,a18,4,0.150943396
no,CL,a19,4,0.213114754
no,CL,a20,4,0.085714286
no,CL,a21,4,0.058823529
no,CL,a22,4,0.19266055
no,CL,a23,4,0.306122449
no,CL,a24,4,0.193277311
no,CL,a25,4,0.094339623
no,CL,a26,4,0.113043478
no,CL,a27,4,0.142857143
no,CL,a28,4,0.055555556
no,CL,a29,4,0.113043478
no,CL,a30,4,0.03030303
no,CL,a31,4,0.058823529
no,CL,a32,4,0.165217391
no,CL,a33,4,0.318181818
no,CL,a34,4,0.113043478
no,CL,a35,4,0.234782609
no,CL,a36,4,0.113043478
no,CL,a37,4,0.119266055
no,CL,a38,4,0.184
no,CL,a39,4,0.055555556
no,CL,a40,4,0.19266055
no,CL,a41,4,0.244897959
no,CL,a42,4,0.193277311
no,CL,a43,4,0.094339623
no,CL,a44,4,0.165217391
no,CL,a45,4,0.089285714
no,CL,a46,4,0.111111111
no,CL,a47,4,0.165217391
no,CL,a48,4,0.03030303
no,CL,a49,4,0.058823529
no,CL,a50,4,0.165217391
no,CL,a51,4,0.318181818
no,CL,a52,4,0.165217391
no,CL,a53,4,0.234782609
no,CL,a54,4,0.113043478
no,CL,a55,4,0.174311927
no,CL,a56,4,0.232
no,CL,a57,4,0.055555556
no,CL,a58,4,0.219047619
no,CL,a59,4,0.079365079
no,CL,a60,4,0.097345133
no,CL,a61,4,0.163934426
no,CL,a62,4,0.142857143
no,CL,a63,4,0.182608696
no,CL,a64,4,0.163934426
no,CL,a65,4,0.169811321
no,CL,a66,4,0.19266055
no,CL,a67,4,0.114754098
no,CL,a68,4,0.221052632
no,CL,a69,4,0.163934426
no,CL,a70,4,0.049180328
no,CL,a71,4,0.163934426
no,CL,a72,4,0.172413793
no,CL,a73,4,0.121212121
no,CL,a74,4,0.234782609
no,CL,a75,4,0.234782609
no,CL,a76,4,0.333333333
no,CL,a77,4,0.207207207
no,CL,a78,4,0.185185185
no,CL,a79,4,0.288461538
no,CL,a80,4,0.207207207
no,CL,a81,4,0.284210526
no,CL,a82,4,0.306122449
no,CL,a83,4,0.333333333
no,CL,a84,4,0.357142857
no,CL,a85,4,0.207207207
no,CL,a86,4,0.261261261
no,CL,a87,4,0.153153153
no,CL,a88,4,0.276190476
no,CL,a89,4,0.272727273
no,CL,a90,4,0.288461538
no,CL,a91,4,0.105691057
no,CL,a92,4,0.121212121
no,CL,a93,4,0.147286822
no,CL,a94,4,0.184
no,CL,a95,4,0.121212121
no,CL,a96,4,0.172413793
no,CL,a97,4,0.193277311
no,CL,a98,4,0.075757576
no,CL,a99,4,0.295238095
no,CL,a100,4,0.121212121
no,CL,a101,4,0.075757576
no,CL,a102,4,0.121212121
no,CL,a103,4,0.174603175
no,CL,a104,4,0.042253521
no,CL,a105,4,0.232
no,CL,a106,4,0.193277311
no,CL,a107,4,0.172413793
no,CL,a108,4,0.142857143
no,CL,a109,4,0.193277311
no,CL,a110,4,0.067961165
no,CL,a111,4,0.094339623
no,CL,a112,4,0.075630252
no,CL,a113,4,0.347826087
no,CL,a114,4,0.193277311
no,CL,a115,4,0.142857143
no,CL,a116,4,0.193277311
no,CL,a117,4,0.203539823
no,CL,a118,4,0.147286822
no,CL,a119,4,0.142857143
no,CL,a120,4,0.072
no,CL,a121,4,0.05785124
no,CL,a122,4,0
no,CL,a123,4,0.142857143
no,CL,a124,4,0.113043478
no,CL,a125,4,0.15625
no,CL,a126,4,0.267326733
no,CL,a127,4,0
no,CL,a128,4,0.15625
no,CL,a129,4,0.046875
no,CL,a130,4,0.049180328
no,CL,a131,4,0.072463768
no,CL,a132,4,0.107438017
no,CL,a133,4,0.084745763
no,CL,a134,4,0.072
no,CL,a135,4,0.119266055
no,CL,a136,4,0.089285714
no,CL,a137,4,0.136
no,CL,a138,4,0.244897959
no,CL,a139,4,0.072
no,CL,a140,4,0.136
no,CL,a141,4,0.072
no,CL,a142,4,0.075630252
no,CL,a143,4,0.140740741
no,CL,a144,4,0.084745763
no,CL,a145,4,0.05785124
no,CL,a146,4,0.085714286
no,CL,a147,4,0.055555556
no,CL,a148,4,0.107438017
no,CL,a149,4,0.29787234
no,CL,a150,4,0.05785124
no,CL,a151,4,0.173553719
no,CL,a152,4,0.107438017
no,CL,a153,4,0.060869565
no,CL,a154,4,0.129770992
no,CL,a155,4,0.052631579
no,CL,a156,4,0.142857143
no,CL,a157,4,0.113043478
no,CL,a158,4,0.15625
no,CL,a159,4,0.267326733
no,CL,a160,4,0
no,CL,a161,4,0.15625
no,CL,a162,4,0.046875
no,CL,a163,4,0.049180328
no,CL,a164,4,0.072463768
no,CL,a165,4,0.107438017
no,CL,a166,4,0.03030303
no,CL,a167,4,0.142857143
no,CL,a168,4,0.294117647
no,CL,a169,4,0.142857143
no,CL,a170,4,0.214285714
no,CL,a171,4,0.142857143
no,CL,a172,4,0.150943396
no,CL,a173,4,0.213114754
